MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIEUS,19,106.49,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,111.2,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,128.537,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,141.139,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,148.031,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,121.057,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,117.165,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,116.659,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,131.695,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,1491.807,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,132.233,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,124.345,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,122.803,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,111.194,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,115.915,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,126.031,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,138.083,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,139.614,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,124.594,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,119.943,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,120.824,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,143.264,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,1518.844,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,132.923,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,116.26,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,121.806,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,115.909,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,118.556,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,130.719,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,143.146,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,146.257,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,134.042,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,128.8,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,122.119,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,137.027,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,1547.564,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,143.148,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,117.505,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,118.823,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,111.147,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,122.745,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,131.945,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,144.042,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,144.107,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,129.099,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,124.058,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,127.928,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,133.633,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,1548.18,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,137.39,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,121.125,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,126.201,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,19,118.33,1,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
